names,lat,lon,geometry
Purva Skydale ,12.894033,77.6623617,POINT (77.66236169999999 12.894033)
Salarpuria Sattva Cadenza ,12.889441,77.6402211,POINT (77.64022109999999 12.889441)
Shriram Summitt ,12.8360678,77.6672418,POINT (77.6672418 12.8360678)
Shriram Luxor ,13.085249,77.6549154,POINT (77.65491539999999 13.085249)
Ecolife Elements Of Nature ,12.9387277,77.7311262,POINT (77.73112619999999 12.9387277)
Salarpuria Sattva East Crest ,13.043223,77.7482414,POINT (77.7482414 13.043223)
Shriram Greenfield Phase 1 ,13.0708496,77.7512724,POINT (77.75127239999999 13.0708496)
Century Infiniti ,12.8975268,77.6772502,POINT (77.6772502 12.8975268)
Vaswani Exquisite ,12.98979,77.7242795,POINT (77.72427949999999 12.98979)
Vaishnavi Gardenia ,13.0425402,77.5194121,POINT (77.5194121 13.0425402)
Bren Edgewaters ,12.9022215,77.6699666,POINT (77.6699666 12.9022215)
DSMAX SAROVAR ,12.7815368,77.7818487,POINT (77.7818487 12.7815368)
Niranjan Tridha ,12.8810058,77.6361614,POINT (77.63616139999999 12.8810058)
Bren Imperia ,12.9068814,77.671808,POINT (77.671808 12.9068814)
Nandi Citadel ,12.8613592,77.6068838,POINT (77.60688379999999 12.8613592)
Sobha Avenue ,13.0287887,77.7496788,POINT (77.74967880000001 13.0287887)
Provident Sunworth ,12.8818045,77.4705858,POINT (77.47058579999999 12.8818045)
Purva Northern Waves ,13.0630984,77.6629563,POINT (77.66295629999999 13.0630984)
Prestige Falcon City ,12.885663,77.563775,POINT (77.56377499999999 12.885663)
Mahaveer Ranches ,12.8783657,77.6708668,POINT (77.6708668 12.8783657)
SNN Raj Etternia ,12.8905902,77.6681103,POINT (77.6681103 12.8905902)
Karsten Palm Groves ,12.7741873,77.6961678,POINT (77.6961678 12.7741873)
Salarpuria Sattva Celesta ,13.018456,77.703632,POINT (77.703632 13.018456)
DSMAX SKYCITY ,13.0810365,77.6343988,POINT (77.6343988 13.0810365)
Meda Greens ,12.9206595,77.4926622,POINT (77.4926622 12.9206595)
Phoenix One  West ,13.0097168,77.5540958,POINT (77.5540958 13.0097168)
Salarpuria Sattva Greenage Phase II ,12.9024372,77.6313115,POINT (77.6313115 12.9024372)
Mahidhara Fortune City ,12.7748955,77.7830251,POINT (77.7830251 12.7748955)
Candeur Carlisle ,12.9969877,77.6899549,POINT (77.68995489999999 12.9969877)
Arya Hamsa Grande ,12.8595081,77.574026,POINT (77.574026 12.8595081)
